PublicID, PublicParentID, EntityCodeID,
Acme Lab,  , Building, 
Tank 4, Acme Lab, Freezer, 
Section 1, Acme Lab\Tank 4, Section, 
Frame 001, Acme Lab\Tank 4\Section 1, Frame, 
Position 1, Acme Lab\Tank 4\Section 1\Frame 001, Position, 
Position 2, Acme Lab\Tank 4\Section 1\Frame 001, Position, 
Position 3, Acme Lab\Tank 4\Section 1\Frame 001, Position, 
Position 4, Acme Lab\Tank 4\Section 1\Frame 001, Position, 
Position 5, Acme Lab\Tank 4\Section 1\Frame 001, Position, 
Position 6, Acme Lab\Tank 4\Section 1\Frame 001, Position, 
Position 7, Acme Lab\Tank 4\Section 1\Frame 001, Position, 
Frame 002, Acme Lab\Tank 4\Section 1, Frame, 
Position 1, Acme Lab\Tank 4\Section 1\Frame 002, Position, 
Position 2, Acme Lab\Tank 4\Section 1\Frame 002, Position, 
Position 3, Acme Lab\Tank 4\Section 1\Frame 002, Position, 
Position 4, Acme Lab\Tank 4\Section 1\Frame 002, Position, 
Position 5, Acme Lab\Tank 4\Section 1\Frame 002, Position, 
Position 6, Acme Lab\Tank 4\Section 1\Frame 002, Position, 
Position 7, Acme Lab\Tank 4\Section 1\Frame 002, Position, 
Frame 003, Acme Lab\Tank 4\Section 1, Frame, 
Position 1, Acme Lab\Tank 4\Section 1\Frame 003, Position, 
Position 2, Acme Lab\Tank 4\Section 1\Frame 003, Position, 
Position 3, Acme Lab\Tank 4\Section 1\Frame 003, Position, 
Position 4, Acme Lab\Tank 4\Section 1\Frame 003, Position, 
Position 5, Acme Lab\Tank 4\Section 1\Frame 003, Position, 
Position 6, Acme Lab\Tank 4\Section 1\Frame 003, Position, 
Position 7, Acme Lab\Tank 4\Section 1\Frame 003, Position, 
Frame 004, Acme Lab\Tank 4\Section 1, Frame, 
Position 1, Acme Lab\Tank 4\Section 1\Frame 004, Position, 
Position 2, Acme Lab\Tank 4\Section 1\Frame 004, Position, 
Position 3, Acme Lab\Tank 4\Section 1\Frame 004, Position, 
Position 4, Acme Lab\Tank 4\Section 1\Frame 004, Position, 
Position 5, Acme Lab\Tank 4\Section 1\Frame 004, Position, 
Position 6, Acme Lab\Tank 4\Section 1\Frame 004, Position, 
Position 7, Acme Lab\Tank 4\Section 1\Frame 004, Position, 
Frame 005, Acme Lab\Tank 4\Section 1, Frame, 
Position 1, Acme Lab\Tank 4\Section 1\Frame 005, Position, 
Position 2, Acme Lab\Tank 4\Section 1\Frame 005, Position, 
Position 3, Acme Lab\Tank 4\Section 1\Frame 005, Position, 
Position 4, Acme Lab\Tank 4\Section 1\Frame 005, Position, 
Position 5, Acme Lab\Tank 4\Section 1\Frame 005, Position, 
Position 6, Acme Lab\Tank 4\Section 1\Frame 005, Position, 
Position 7, Acme Lab\Tank 4\Section 1\Frame 005, Position, 
Frame 006, Acme Lab\Tank 4\Section 1, Frame, 
Position 1, Acme Lab\Tank 4\Section 1\Frame 006, Position, 
Position 2, Acme Lab\Tank 4\Section 1\Frame 006, Position, 
Position 3, Acme Lab\Tank 4\Section 1\Frame 006, Position, 
Position 4, Acme Lab\Tank 4\Section 1\Frame 006, Position, 
Position 5, Acme Lab\Tank 4\Section 1\Frame 006, Position, 
Position 6, Acme Lab\Tank 4\Section 1\Frame 006, Position, 
Position 7, Acme Lab\Tank 4\Section 1\Frame 006, Position, 
Frame 007, Acme Lab\Tank 4\Section 1, Frame, 
Position 1, Acme Lab\Tank 4\Section 1\Frame 007, Position, 
Position 2, Acme Lab\Tank 4\Section 1\Frame 007, Position, 
Position 3, Acme Lab\Tank 4\Section 1\Frame 007, Position, 
Position 4, Acme Lab\Tank 4\Section 1\Frame 007, Position, 
Position 5, Acme Lab\Tank 4\Section 1\Frame 007, Position, 
Position 6, Acme Lab\Tank 4\Section 1\Frame 007, Position, 
Position 7, Acme Lab\Tank 4\Section 1\Frame 007, Position, 
Frame 008, Acme Lab\Tank 4\Section 1, Frame, 
Position 1, Acme Lab\Tank 4\Section 1\Frame 008, Position, 
Position 2, Acme Lab\Tank 4\Section 1\Frame 008, Position, 
Position 3, Acme Lab\Tank 4\Section 1\Frame 008, Position, 
Position 4, Acme Lab\Tank 4\Section 1\Frame 008, Position, 
Position 5, Acme Lab\Tank 4\Section 1\Frame 008, Position, 
Position 6, Acme Lab\Tank 4\Section 1\Frame 008, Position, 
